1,1,Animal Behaviour & Welfare Top U,48,88,78,Available,2020-08-13
2,1,Animal Therapy and Rehabilitation Top Up,96,45,31,Available,2020-08-23
3,1,Business and Management Practice Top Up,77,39,33,Available,2020-08-23
4,1,Early Childhood Studies Top Up,51,37,26,Available,2020-08-11
5,2,Music Industry Practice,79,60,44,Available,2020-08-10
6,2,Music Industry Practice,56,95,90,Available,2020-08-14
7,2,Music Industry Practice,72,29,22,Available,2020-08-28
8,2,Music Industry Practice,94,59,52,Available,2020-08-24
9,2,Music Industry Practice (including Foundation Year),55,94,34,Available,2020-08-01
10,2,Music Industry Practice (including Foundation Year),108,93,15,Available,2020-08-07
11,2,Music Industry Practice (including Foundation Year),64,12,10,Available,2020-08-25
12,2,Music Industry Practice (including Foundation Year),78,29,17,Available,2020-08-30
13,2,Music Industry Practice,106,65,32,Available,2020-08-14
14,2,Music Industry Practice,62,71,19,Available,2020-08-15
15,2,Music Industry Practice,107,76,14,Available,2020-08-28
16,2,Music Industry Practice,70,21,15,Available,2020-08-03
17,2,Music Industry Practice (including Foundation Year),88,91,11,Available,2020-08-29
18,2,Music Industry Practice (including Foundation Year),79,18,13,Available,2020-08-18
19,2,Music Industry Practice (including Foundation Year),93,55,51,Available,2020-08-30
20,2,Music Industry Practice (including Foundation Year),85,17,17,Unavailable,2020-08-06
21,3,Creative Media Production (Film),103,32,10,Available,2020-08-13
22,3,Creative Media Production (Film),72,15,12,Available,2020-08-29
23,3,Creative Media Production (Film),64,20,20,Unavailable,2020-08-01
24,3,Creative Media Production (Film),69,31,23,Available,2020-08-10
25,3,Creative Media Production (Film),82,14,11,Available,2020-08-16
26,3,Creative Media Production (Film),100,70,18,Available,2020-08-06
27,3,Zoo Management,112,65,56,Available,2020-08-16
28,3,Zoo Management,101,65,45,Available,2020-08-23
29,3,Zoo Management,106,25,22,Available,2020-08-28
30,3,Zoo Management,104,74,45,Available,2020-08-15
31,3,Zoo Management,105,79,36,Available,2020-08-27
32,3,Zoo Management,64,69,47,Available,2020-08-14
33,3,Equine Management,54,20,17,Available,2020-08-26
34,3,Equine Management,94,29,12,Available,2020-08-22
35,3,Equine Management,109,30,28,Available,2020-08-29
36,3,Equine Management,95,46,21,Available,2020-08-12
37,3,Equine Management,95,43,30,Available,2020-08-28
38,3,Equine Management,106,46,21,Available,2020-08-02
39,3,Counselling,66,14,10,Available,2020-08-03
40,3,Counselling,89,92,87,Available,2020-08-09
41,3,Counselling,69,55,35,Available,2020-08-10
42,3,Counselling,53,45,45,Unavailable,2020-08-04
43,3,Counselling,93,71,65,Available,2020-08-21
44,3,Counselling,56,60,28,Available,2020-08-21
45,4,Fine Art,96,53,21,Available,2020-08-26
46,4,Fine Art,76,73,39,Available,2020-08-17
47,4,Graphic Design,91,87,40,Available,2020-08-02
48,4,Graphic Design,71,88,23,Available,2020-08-20
49,4,Graphic Design,103,94,53,Available,2020-08-22
50,4,Illustration,60,50,35,Available,2020-08-03
51,4,Illustration,83,25,16,Available,2020-08-02
52,4,Fashion Design,93,36,29,Available,2020-08-21
53,4,Fashion Design,57,20,13,Available,2020-08-09
54,4,Interior Design,88,99,49,Available,2020-08-09
55,4,Interior Design,108,62,29,Available,2020-08-06
56,4,Computer Games Art,88,31,11,Available,2020-08-29
57,4,Photography,87,54,39,Available,2020-08-27
58,4,Photography,83,38,30,Available,2020-08-27
59,4,Illustration and Animation,57,68,35,Available,2020-08-12
60,4,Illustration and Animation,83,97,81,Available,2020-08-23
61,4,Music,82,81,69,Available,2020-08-09
62,4,Business and Healthcare Management,85,58,22,Available,2020-08-18
63,4,Business and Healthcare Management,65,73,56,Available,2020-08-17
64,4,Business and Healthcare Management,68,51,41,Available,2020-08-10
65,4,Business and Healthcare Management,78,53,51,Available,2020-08-25
66,4,Business and Healthcare Management,66,82,80,Available,2020-08-17
67,4,Business and Hospitality Management,64,70,21,Available,2020-08-26
68,4,Business and Hospitality Management,61,89,77,Available,2020-08-16
69,4,Business and Hospitality Management,68,100,13,Available,2020-08-18
70,4,Business and Hospitality Management,88,13,10,Available,2020-08-10
71,4,Business and Hospitality Management,89,85,80,Available,2020-08-16
72,4,Business and Human Resource Management,72,33,20,Available,2020-08-13
73,4,Business and Human Resource Management,68,55,46,Available,2020-08-22
74,4,Business and Human Resource Management,59,38,23,Available,2020-08-23
75,4,Business and Human Resource Management,62,50,33,Available,2020-08-20
76,4,Business and Human Resource Management,76,55,33,Available,2020-08-02
77,4,Business and Human Resource Management,68,75,65,Available,2020-08-19
78,4,Business and Human Resource Management,76,55,35,Available,2020-08-18
79,4,Business and Human Resource Management,71,67,58,Available,2020-08-10
80,4,Business and Human Resource Management,54,74,68,Available,2020-08-18
81,4,Business and Human Resource Management,61,92,60,Available,2020-08-20
82,4,Business and Law,74,90,74,Available,2020-08-25
83,4,Business and Law,110,39,22,Available,2020-08-19
84,4,Business and Law,75,97,60,Available,2020-08-10
85,4,Business and Law,84,13,11,Available,2020-08-13
86,4,Business and Law,89,49,14,Available,2020-08-03
87,4,Business and Law,62,59,13,Available,2020-08-10
88,4,Business and Law,110,47,36,Available,2020-08-01
89,4,Business and Law,64,19,16,Available,2020-08-22
90,4,Business and Law,83,17,13,Available,2020-08-11
91,4,Business and Law,108,79,35,Available,2020-08-01
92,4,Business and Law,71,12,11,Available,2020-08-12
93,4,Business and Law,66,33,27,Available,2020-08-02
94,4,Business and Law,56,24,13,Available,2020-08-13
95,4,Business and Law,50,64,64,Unavailable,2020-08-14
96,4,Business and Marketing,79,80,42,Available,2020-08-03
97,4,Business and Marketing,92,65,52,Available,2020-08-14
98,4,Business and Marketing,102,31,10,Available,2020-08-24
99,4,Business and Marketing,53,83,65,Available,2020-08-23
100,4,Business and Marketing,62,90,80,Available,2020-08-24
101,4,Business and Marketing,63,13,13,Unavailable,2020-08-16
102,4,Business and Marketing,91,84,20,Available,2020-08-29
103,4,Business and Marketing,107,82,52,Available,2020-08-16
104,4,Business and Marketing,61,98,84,Available,2020-08-11
105,4,Business and Marketing,110,94,52,Available,2020-08-14
106,4,Business and Marketing,72,27,17,Available,2020-08-29
107,4,Business and Marketing,67,91,31,Available,2020-08-20
108,4,Business and Marketing,109,43,32,Available,2020-08-08
109,4,Business and Marketing,101,32,19,Available,2020-08-06
110,4,Business and Tourism Management,102,58,29,Available,2020-08-29
111,4,Business and Tourism Management,85,96,51,Available,2020-08-30
112,4,Business and Tourism Management,98,27,13,Available,2020-08-02
113,4,Business and Tourism Management,98,74,29,Available,2020-08-15
114,4,Business and Tourism Management,95,65,51,Available,2020-08-11
115,4,Business and Tourism Management,76,74,35,Available,2020-08-30
116,4,Business and Tourism Management,107,58,10,Available,2020-08-21
117,4,Business and Tourism Management,68,69,51,Available,2020-08-08
118,4,Business and Tourism Management,98,91,78,Available,2020-08-11
119,4,Business and Tourism Management,68,98,97,Available,2020-08-06
120,4,Business and Tourism Management,76,33,21,Available,2020-08-21
121,4,Business and Tourism Management,62,68,30,Available,2020-08-24
122,4,Business and Tourism Management,51,68,42,Available,2020-08-19
123,4,Business and Tourism Management,63,53,50,Available,2020-08-18
124,4,Computer Networks,95,66,40,Available,2020-08-16
125,4,Computer Networks,70,58,56,Available,2020-08-28
126,4,Computer Networks,106,67,28,Available,2020-08-14
127,4,Computer Networks,88,99,92,Available,2020-08-12
128,4,Computer Networks,82,78,63,Available,2020-08-04
129,4,Nursing (Adult),90,37,26,Available,2020-08-08
130,4,Finance and Accounting,75,54,16,Available,2020-08-29
131,4,International Business Management,102,15,10,Available,2020-08-01
132,4,International Business Management,53,78,47,Available,2020-08-19
133,4,International Business Management,80,87,67,Available,2020-08-18
134,4,International Business Management,85,27,11,Available,2020-08-16
135,4,International Business Management,93,82,32,Available,2020-08-06
136,4,International Business Management,101,31,15,Available,2020-08-13
137,4,International Business Management,105,56,16,Available,2020-08-22
138,4,International Business Management,71,22,16,Available,2020-08-19
139,4,International Business Management,56,56,17,Available,2020-08-17
140,4,International Business Management,96,99,30,Available,2020-08-10
141,4,International Business Management,92,73,60,Available,2020-08-11
142,4,International Business Management,97,62,53,Available,2020-08-27
143,4,International Business Management,49,59,41,Available,2020-08-23
144,4,International Business Management,92,19,18,Available,2020-08-08
145,4,Banking and Finance,92,42,20,Available,2020-08-10
146,4,Nursing (Child),85,38,18,Available,2020-08-18
147,4,Public Health,99,14,11,Available,2020-08-03
148,4,Public Health,100,61,37,Available,2020-08-09
149,4,Public Health,70,99,80,Available,2020-08-10
150,4,Public Health,90,71,20,Available,2020-08-21
151,4,Public Health,98,66,10,Available,2020-08-07
152,4,Business Management,75,30,25,Available,2020-08-19
153,4,Business Management,111,71,35,Available,2020-08-04
154,4,Business Management,65,47,11,Available,2020-08-27
155,4,Business Management,82,79,19,Available,2020-08-13
156,4,Business Management,84,54,33,Available,2020-08-15
157,4,Computer Gaming Technology,51,72,49,Available,2020-08-22
158,4,Computer Networks,57,90,18,Available,2020-08-07
159,4,Computer Networks,60,20,13,Available,2020-08-15
160,4,Computer Networks,78,57,15,Available,2020-08-06
161,4,Computer Networks,104,69,48,Available,2020-08-29
162,4,Computer Networks,97,10,10,Unavailable,2020-08-07
163,4,Computer Science,85,34,16,Available,2020-08-30
164,4,Computer Science,102,71,20,Available,2020-08-07
165,4,Computer Science,107,19,18,Available,2020-08-30
166,4,Computer Science,82,83,72,Available,2020-08-27
167,4,Computer Science,93,52,11,Available,2020-08-14
168,4,Forensic Science,51,92,52,Available,2020-08-16
169,4,International Business Management,84,96,64,Available,2020-08-20
170,4,International Business Management,65,15,10,Available,2020-08-29
171,4,International Business Management,104,25,21,Available,2020-08-14
172,4,International Business Management,88,46,16,Available,2020-08-01
173,4,International Business Management,90,92,32,Available,2020-08-28
174,4,International Business Management,102,40,33,Available,2020-08-06
175,4,International Business Management,73,98,20,Available,2020-08-05
176,4,International Business Management,83,46,27,Available,2020-08-03
177,4,International Business Management,51,45,31,Available,2020-08-17
178,4,International Business Management,99,26,16,Available,2020-08-26
179,4,International Business Management,71,33,10,Available,2020-08-20
180,4,International Business Management,59,87,61,Available,2020-08-01
181,4,International Business Management,86,99,10,Available,2020-08-21
182,4,International Business Management,85,44,37,Available,2020-08-18
